Alphabets,Colors,Digits,Arithmetic,Shapes,Objects,Emotions,Sound,Communication,Actions,Recommended Lessons
0,5.51,5.93,0,1.72,0,7.66,5,1.25,0,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication Actions
3.88,6,2.02,0,8.65,7.2,2.96,10,1.52,5,Alphabets Digits Arithmetic Emotions Communication Actions
3.78,8.28,0.61,2.47,5,3.47,9.49,5.56,1.48,1,Alphabets Digits Arithmetic Shapes Objects Sound Communication Actions
9,0,3.29,8,6.78,6.92,4.07,0.19,6.39,0, Colors Digits Emotions Sound Actions
3,0,0.29,5.14,10,6.36,6.81,0,0,6.41,Alphabets Colors Digits Arithmetic Sound Communication
1.46,0,7.52,5,1.58,0,1,6.8,2.37,5.69,Alphabets Colors Arithmetic Shapes Objects Emotions Communication Actions
4.78,1,7.67,8.27,5,2,7,2.65,0,1.89,Alphabets Colors Shapes Objects Sound Communication Actions
0.6,7,4.78,0,7,4.59,7,0,1.6,0.19,Alphabets Digits Arithmetic Objects Sound Communication Actions
6,5,3,5.52,7.35,0,7.16,4.99,8.9,5.26, Colors Digits Arithmetic Objects Sound Actions
3,6.3,9,8.13,1.29,0.14,7.83,3.34,6.23,6.17,Alphabets Shapes Objects Sound
3.81,7.64,0,8.68,6.99,0,7,4,8.19,2.99,Alphabets Digits Objects Sound Actions
1.88,3.86,3.45,2,7,4.25,4,6.45,0,6.23,Alphabets Colors Digits Arithmetic Objects Emotions Communication
5.33,7.8,0,4.25,6.54,6.05,0,1.38,4.05,8.57,Alphabets Digits Arithmetic Emotions Sound Communication
9,0,4,7.4,3.12,2.52,1.61,5.03,3.59,6.12, Colors Digits Shapes Objects Emotions Sound Communication
1.99,0.79,5.35,0,1,5,10,4.92,2,0,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication Actions
0.41,4,7.88,9.71,0,3,2.98,7.41,2.75,4.74,Alphabets Colors Shapes Objects Emotions Communication Actions
0.15,0,1.75,6.74,0,9,5.97,5,8,0,Alphabets Colors Digits Shapes Emotions Sound Actions
3.2,2,5.55,2.53,2.78,3.43,9.13,0.62,6.12,0,Alphabets Colors Digits Arithmetic Shapes Objects Sound Actions
2.42,10,2.04,1.6,0,9,6,6,0,7,Alphabets Digits Arithmetic Shapes Communication
0,0.89,4,1,5.19,3.92,0.24,9,0,0,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
4,6.4,0,4,1,5,2,0,7.08,7.54,Alphabets Digits Arithmetic Shapes Objects Emotions Sound
2.84,1.77,0,0,6,6.09,2.29,1.24,6,3,Alphabets Colors Digits Arithmetic Emotions Sound Actions
1.06,6,1.81,6,7.03,2.98,0,3.51,7.03,3.91,Alphabets Digits Objects Emotions Sound Actions
1,0,7.09,1,7.69,0,0,7.53,8,10,Alphabets Colors Arithmetic Objects Emotions
4,3.01,2.98,8.09,7.43,0,4.35,4.86,2,9,Alphabets Colors Digits Objects Emotions Sound Communication
8.27,9.89,6.8,6,10,4.87,1.56,9,4.61,6, Objects Emotions Communication
2.65,3.35,1.62,6.53,0.8,2.42,3.8,8.77,4.96,3,Alphabets Colors Digits Shapes Objects Emotions Communication Actions
2.4,1.39,6.71,6.89,5.27,0,4.08,9,2.43,10,Alphabets Colors Shapes Objects Emotions Communication
5.29,2.5,2.11,1.99,3.8,2.2,1,0,3.13,9.02,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
1.86,0,3.24,0,2,10,8.85,6.46,6,8,Alphabets Colors Digits Arithmetic Shapes
5.91,0.84,3.8,6.78,8.64,1.21,4.78,8,2.02,0,Alphabets Colors Digits Objects Emotions Communication Actions
0,1.41,3.52,7.29,7,4.44,2.5,0.37,8.2,2.5,Alphabets Colors Digits Objects Emotions Sound Actions
1,7,2.97,1.22,8.64,3,2,3,0.73,0.52,Alphabets Digits Arithmetic Objects Emotions Sound Communication Actions
1,3.26,2.48,4.37,5.36,1,9.42,1,1,4.87,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication Actions
4.88,2.93,0,8.41,2.44,8.35,6.26,1.54,0.87,5,Alphabets Colors Digits Shapes Sound Communication Actions
5,0.68,3.33,9.21,5.94,0,4,6.95,1.89,4.75,Alphabets Colors Digits Shapes Objects Emotions Communication Actions
1.92,6,6.48,1.15,2,1.63,0,4,6,0,Alphabets Arithmetic Shapes Objects Emotions Sound Actions
0,6,6.57,1.56,1.82,0,6.33,8,2.78,8,Alphabets Arithmetic Shapes Objects Communication
4,6,9.46,3.27,3.9,7.72,6.36,3.93,0,6.52,Alphabets Arithmetic Shapes Sound Communication
1,7.2,0,4.09,3.28,5.82,7.71,2.91,7.74,8.71,Alphabets Digits Arithmetic Shapes Objects Sound
4.73,2.03,0,5.6,3,9,7.09,6.8,4.53,8.05,Alphabets Colors Digits Arithmetic Shapes Communication
6.31,2.02,5.14,3.83,2.25,10,0,5.46,6.49,1.47, Colors Digits Arithmetic Shapes Emotions Sound Actions
6,3.51,0.72,2,2.28,7,7.52,2,4,0, Colors Digits Arithmetic Shapes Sound Communication Actions
8.47,8.86,8.37,1,9,10,0,4.51,7,9, Arithmetic Emotions Sound
0.81,1,7.57,3,1.76,5,4.09,7,5.58,8.81,Alphabets Colors Arithmetic Shapes Objects Emotions Communication
7.7,4.17,0,6.88,7.25,8,3.94,1.14,10,0.61, Colors Digits Emotions Sound Actions
0,4.55,8.54,8.3,2.2,0.82,8,5,0,6.43,Alphabets Colors Shapes Objects Sound Communication
4.76,9,9,2.79,6.63,3.83,0,0,6,2.23,Alphabets Arithmetic Objects Emotions Sound Actions
0,0,6.39,1.04,5,3.53,8.65,5.58,7.94,8.98,Alphabets Colors Arithmetic Shapes Objects Sound
4,5.85,7.85,5,7.67,0,0,7.31,0,9.55,Alphabets Colors Arithmetic Objects Emotions Communication
1.85,4.54,1.13,9.69,0.3,8.98,3.48,6.62,0,9.48,Alphabets Colors Digits Shapes Emotions Communication
2,0,8,8,5.31,7.08,1.96,0,0.11,0,Alphabets Colors Shapes Emotions Sound Communication Actions
2.33,0.88,1.92,0.38,1.64,9,0,3.9,4,4.92,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
2,1,5,0,3.55,7.02,7.92,1,3,8.86,Alphabets Colors Digits Arithmetic Shapes Sound Communication
9,2,0,1,6,0.93,5,3.42,0,4.94, Colors Digits Arithmetic Objects Emotions Sound Communication Actions
1.28,8,1,4.93,4.44,3,8.03,6,7,1.06,Alphabets Digits Arithmetic Shapes Objects Actions
1.53,1,8,3.51,8,6,6,2.58,0,2.5,Alphabets Colors Arithmetic Sound Communication Actions
4.36,7.83,1,0,2.84,7,2.86,1,4.44,5.72,Alphabets Digits Arithmetic Shapes Emotions Sound Communication Actions
1.21,3,7.8,10,6.43,8.94,0,7,0,0.52,Alphabets Colors Emotions Communication Actions
3.57,4,2.5,0,6,3,0.18,8,2.02,3.29,Alphabets Colors Digits Arithmetic Objects Emotions Communication Actions
2.63,3.43,0.27,0,3.6,6.78,7,2,2,4.16,Alphabets Colors Digits Arithmetic Shapes Sound Communication Actions
0.23,1.59,6.81,9.61,6,2.8,5.12,7.5,0,10,Alphabets Colors Objects Emotions Communication
5.99,7.99,4.91,10,3.05,0,0,6,3.59,7,Alphabets Digits Shapes Objects Emotions Communication
8,1.48,4.89,4.6,7.72,1.62,0,2.94,0.08,8.91, Colors Digits Arithmetic Objects Emotions Sound Communication
7.37,1.87,8.01,10,0,1.6,2.37,4.3,3,8.12, Colors Shapes Objects Emotions Sound Communication
7,9,0.68,1.71,10,0,1,2,4.07,5.95, Digits Arithmetic Objects Emotions Sound Communication Actions
3,6.93,6,5.8,3.96,7,9.24,8,4,7.15,Alphabets Arithmetic Shapes Communication
5.8,0,0,7.82,1.84,0,0,8.86,7,0,Alphabets Colors Digits Shapes Objects Emotions Actions
4.47,0,8.78,9,0,5,4,0,5,8,Alphabets Colors Shapes Objects Emotions Sound Communication
0,7,3.73,4.43,5,10,0,0,5.13,2.16,Alphabets Digits Arithmetic Shapes Emotions Sound Communication Actions
1,5.74,2.04,2.83,6.69,0,10,6.83,9.36,10,Alphabets Colors Digits Arithmetic Objects
0.39,1,7.11,4.79,0,0.86,0,3.82,0.13,7.63,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication
3,1,0,1.14,5.98,9.87,6.21,8,5,7.31,Alphabets Colors Digits Arithmetic Shapes Communication
6.25,4.22,9,5.15,0,0,4,5.2,5.62,3, Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
8.98,1.21,5.05,0,4,0.5,6.32,4,0,7.63, Colors Digits Arithmetic Shapes Objects Sound Communication
5.51,0,0.7,6,6,5.85,4,7.37,3.4,9.12,Alphabets Colors Digits Objects Emotions Communication
4,0,0.23,2,0.86,5,5.52,8,1.82,3.16,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
6.66,2.13,0,1.66,0.24,7,0,2.56,3.61,9, Colors Digits Arithmetic Shapes Emotions Sound Communication
7.75,0,9,8.21,0,5.1,4.93,5.36,0.79,7.39, Colors Shapes Objects Emotions Sound Communication
7,1.72,5.69,9,6,6.94,8.83,0.39,6,4.28, Colors Digits Sound Actions
4,10,5,5,2.92,7,2.57,6,6.4,6.03,Alphabets Digits Arithmetic Shapes Emotions
3.01,0,5.18,6.17,0,10,0,0,10,3,Alphabets Colors Digits Shapes Emotions Sound Actions
0.11,0,1.43,1.64,7.14,8.97,6.81,7.11,7.34,2.85,Alphabets Colors Digits Arithmetic Actions
2.49,0,5.28,0,6,5,4,3,0,0.24,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication Actions
2.69,1.31,0,1,5.88,5,4.63,1,1.73,5.9,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
3.9,7,8,0,2.99,0,0,3.84,0,6,Alphabets Arithmetic Shapes Objects Emotions Sound Communication
6,4.27,4.3,2.74,2,1.04,8,1,6.67,6, Colors Digits Arithmetic Shapes Objects Sound
3.23,8.54,7.44,1.86,8.91,0,8.1,6.12,10,2.67,Alphabets Arithmetic Objects Actions
1,0,1,0,1,7,0,0,5.97,2,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
5.99,0,9,9,7.03,7.46,0,7,0.93,1.61,Alphabets Colors Emotions Communication Actions
4.43,0,0.85,0,0,0,5.11,1.89,0,4,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
2,5.92,8,0,2.23,3.62,6.27,1.87,0.98,6,Alphabets Colors Arithmetic Shapes Objects Sound Communication
6.2,9.2,8,0,0.71,9.64,8.95,0,5,5.9, Arithmetic Shapes Sound Communication Actions
9,3.15,2,9.79,5.69,0,0,10,0,6.98, Colors Digits Shapes Objects Emotions Communication
7.36,10,0,5.38,3.68,0.11,0,5.76,4,9, Digits Arithmetic Shapes Objects Emotions Sound Communication
2.26,2,0,0,5.35,8.92,7,0.38,7.88,2.42,Alphabets Colors Digits Arithmetic Shapes Sound Actions
2,0,4.83,4.55,2.58,1.36,3.83,1.31,7,3.79,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
4,4.95,0.86,1.37,6.71,2.54,1,9,1.01,0.86,Alphabets Colors Digits Arithmetic Objects Emotions Communication Actions
1.04,3.77,0.9,9,9.18,2,3,0,1,2.96,Alphabets Colors Digits Objects Emotions Sound Communication Actions
5.2,1.91,4.91,9,2,6.37,1.64,5,5.63,3.72,Alphabets Colors Digits Shapes Emotions Sound Communication Actions
7,0.63,6.58,9,0,3,0,2,0,3.22, Colors Shapes Objects Emotions Sound Communication Actions
4.27,6.26,2.57,4.04,0,5.57,3.49,6.94,9.64,4.54,Alphabets Digits Arithmetic Shapes Objects Emotions Actions
10,6.41,5.17,5.68,8,1.46,2.37,0,5,5.31, Digits Arithmetic Objects Emotions Sound Communication Actions
0,9,2.85,8.56,0,1.71,2.83,5.29,0,0,Alphabets Digits Shapes Objects Emotions Sound Communication Actions
6.08,7,0,5,5,5,3.6,5.34,0,3.76, Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
7,0,2.97,4.12,7,2.66,5,0,6,5.38, Colors Digits Arithmetic Objects Emotions Sound Actions
7.95,5.2,4.97,3.92,1.91,3,8,4,5.86,2.33, Colors Digits Arithmetic Shapes Objects Sound Communication Actions
2.88,0,4.23,0,5,0,9.09,0,7,3.47,Alphabets Colors Digits Arithmetic Shapes Objects Sound Actions
8.8,5.67,5,4.85,6.88,0.99,0,0,0.01,9, Colors Digits Arithmetic Objects Emotions Sound Communication
2.48,0.72,7.65,4,6,2.45,8,1,0,10,Alphabets Colors Arithmetic Objects Sound Communication
4.85,4,6.83,0,2,5.45,0,7.46,4,1.81,Alphabets Colors Arithmetic Shapes Objects Emotions Communication Actions
0,4.01,8.49,0.41,2.51,0,4.63,1.9,2,0,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
3.35,6.92,3.17,6.11,4.17,2.96,3.18,0,7.98,4.13,Alphabets Digits Shapes Objects Emotions Sound Actions
1,6.9,3,0,6.23,6.81,6.75,7.24,2.17,3,Alphabets Digits Arithmetic Communication Actions
4.41,1,7.88,5,4.04,5,8,7.61,2.19,1.85,Alphabets Colors Arithmetic Shapes Objects Communication Actions
1.83,0.36,6,7.16,0,0,4.27,8,2.35,2.46,Alphabets Colors Shapes Objects Emotions Communication Actions
0,2.79,0,0,9,7,0.07,10,0.43,10,Alphabets Colors Digits Arithmetic Emotions Communication
6.61,0,0,0,3.67,5,1.4,4,0,3.7, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
2.24,5.07,6.89,1,0,0,3.86,10,7.77,7.82,Alphabets Colors Arithmetic Shapes Objects Emotions
6,0,8.36,1.49,3,6,0,9.46,0,3, Colors Arithmetic Shapes Emotions Communication Actions
0,4.36,7.49,2.8,3.73,6,2.91,0.09,7.78,4.74,Alphabets Colors Arithmetic Shapes Emotions Sound Actions
0,9,1.58,3.94,10,4.52,7,2.11,0.5,9.65,Alphabets Digits Arithmetic Objects Sound Communication
5,1,1.4,0,9,2.96,0,2.84,6.35,0,Alphabets Colors Digits Arithmetic Objects Emotions Sound Actions
0,5.46,5.55,0.92,4,0,5.75,0,7.14,10,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound
1,0,7.82,10,0,0.78,4.88,7.27,0,5,Alphabets Colors Shapes Objects Emotions Communication Actions
5.77,6.54,0.84,1.43,2.4,2.54,1,8.97,8,6.45,Alphabets Digits Arithmetic Shapes Objects Emotions
6.96,0,0,0,9,2,1,9.83,1.17,0, Colors Digits Arithmetic Objects Emotions Communication Actions
0,1.82,0.21,3.26,4,1.67,0.67,2.85,4.54,4,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
7,7.91,8.73,0,4.7,5,0,3.16,0.03,6.34, Arithmetic Shapes Objects Emotions Sound Communication
3.89,10,4,10,2.25,6.51,1,6.12,6,5,Alphabets Digits Shapes Emotions Actions
5.1,0,1.36,4.08,8.26,10,6.31,0.56,3.23,0.54,Alphabets Colors Digits Arithmetic Sound Communication Actions
6.91,10,1,3.77,0,6,7.88,9.11,6,6, Digits Arithmetic Shapes
8.58,0,0,8.52,1.25,2,0,1.44,1.99,5.14, Colors Digits Shapes Objects Emotions Sound Communication Actions
0,10,1.43,8.94,7.07,4.04,0,6.97,5,7.96,Alphabets Digits Objects Emotions Communication
7,5.35,7.02,7.43,5.92,5.84,5,0,0,0.22, Colors Shapes Objects Emotions Sound Communication Actions
6.94,8.65,3.48,10,1.31,7.53,8,3.24,0,7, Digits Shapes Sound Communication
7.09,4.99,2,0,0,0,0.94,0,8.2,6, Colors Digits Arithmetic Shapes Objects Emotions Sound
3,0,3.58,5.67,4.78,6,0,5.14,2.78,0,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
3,5.91,5.03,9,2.49,10,4,3.87,7,7.29,Alphabets Colors Digits Shapes Emotions Sound
5.86,2.33,6.18,3.59,0,7,7.08,0,10,0,Alphabets Colors Arithmetic Shapes Sound Actions
2.38,0,0,2.4,1,6.33,7,0.19,3.72,1,Alphabets Colors Digits Arithmetic Shapes Sound Communication Actions
1.8,7.33,5.27,9,4,3.26,8.59,2.25,0.51,0,Alphabets Digits Shapes Objects Sound Communication Actions
8.08,7,2.17,7.19,4,7.59,0,7.62,1,7, Digits Shapes Emotions Communication
0,5,6.37,1.58,0,2.13,9,0,0.22,1,Alphabets Colors Arithmetic Shapes Objects Sound Communication Actions
0,4,1.95,0.96,0,5,6.48,7.13,0,9.48,Alphabets Colors Digits Arithmetic Shapes Objects Communication
1,1.04,9,0,1,4.74,1.25,6,9.92,9,Alphabets Colors Arithmetic Shapes Objects Emotions
8.48,0,4.18,0,1,7.37,1,5.9,1.04,0, Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
8,8.48,0.93,8.38,2,3,7.14,9,2.91,6.15, Digits Shapes Objects Communication
0.8,6,8,0,0,10,8,0.05,0.82,0.45,Alphabets Arithmetic Shapes Sound Communication Actions
8,3,0.48,7.1,0.3,8,0,6.87,0,7.8, Colors Digits Shapes Emotions Communication
0.31,3.52,10,0.92,5,0,0.26,3,5.12,7.27,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication
1.08,8.43,5,6.4,3.96,9.9,0.22,6,6.39,0,Alphabets Digits Shapes Emotions Actions
6.4,6.15,0,0.94,8.43,0,0,10,0,4, Digits Arithmetic Objects Emotions Communication Actions
0.32,7.86,2.25,0,7.85,3.49,0,0,3.96,8.16,Alphabets Digits Arithmetic Objects Emotions Sound Communication
7,0.34,4.3,9,0,0,6.43,8.35,2.57,8.04, Colors Digits Shapes Objects Communication
2.91,5.14,5.92,5.4,3,7.06,3.63,0,7.3,0,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Actions
5.89,4,3.7,0.02,4,0.03,1,3.74,0,1.93,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
5.24,10,10,0,1,2.29,8.77,0,2.45,2,Alphabets Arithmetic Shapes Objects Sound Communication Actions
0,3.65,0,3.89,6.91,4.19,2,3.49,4.11,5.6,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication Actions
6.7,1,4.51,3.46,2,5,0,8,1,2.79, Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
0,0,0,0,8,7.9,0,10,0,8,Alphabets Colors Digits Arithmetic Emotions Communication
3,2.49,2.08,2,2.08,1.08,0,5.83,10,3.65,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
7.97,0,10,0,9.8,7.07,8,0.87,0,7.21, Colors Arithmetic Sound Communication
0,6.58,9.1,0.36,6.08,0.38,2.76,6,3.07,1,Alphabets Arithmetic Objects Emotions Communication Actions
2.16,0,6.97,4.58,2.93,0,10,9.55,3.04,8.33,Alphabets Colors Arithmetic Shapes Objects Communication
0.3,3.64,0,8,6.07,1,6,0.74,6.83,3.61,Alphabets Colors Digits Objects Sound Actions
7.9,5.13,6.81,2.71,7.6,9.89,7,3.85,1,6.69, Colors Arithmetic Sound Communication
4,6,3,1.76,5.9,1,0,2.54,10,7.33,Alphabets Digits Arithmetic Shapes Objects Emotions Sound
3.04,6.36,6.86,1.54,4.95,0,1,2.86,1,8.52,Alphabets Arithmetic Shapes Objects Emotions Sound Communication
0,2,0.09,7,0,10,9,2.73,0,5.73,Alphabets Colors Digits Shapes Sound Communication Actions
3.54,6.94,2,4.87,0,4.48,0,0.95,1.86,0,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
1.11,7.82,6.49,2.64,3.57,9.9,0,8,8,0.98,Alphabets Arithmetic Shapes Emotions Actions
0,5,4.11,7.28,4.74,6.76,7.81,6.79,6,6.78,Alphabets Colors Digits Shapes
3.26,5,5.76,1.93,0.78,0.75,9.91,7.51,0,4.79,Alphabets Colors Digits Arithmetic Shapes Objects Communication Actions
6.8,9.11,5,0,0,0,8,1.55,0.34,2, Digits Arithmetic Shapes Objects Sound Communication Actions
0,6.58,10,0,3.52,8,1,3,4,4.07,Alphabets Arithmetic Shapes Emotions Sound Communication Actions
5.83,0,8,7,2.24,6.03,6.81,0.75,1.7,0,Alphabets Colors Shapes Sound Communication Actions
4.79,5.11,4,8.32,0.5,6.88,3.5,5,9,8.76,Alphabets Colors Digits Shapes Emotions Sound
4.87,10,3.35,0,3.97,0.08,7,7,8.33,7.11,Alphabets Digits Arithmetic Shapes Objects
7.3,7.91,8.84,5,9.13,6,0,0.23,4.69,6, Arithmetic Emotions Sound Communication
8,1,2.72,1.12,1.4,6.89,6.99,9.86,6,4.84, Colors Digits Arithmetic Shapes Actions
3,3,4.47,6,0,0,0,1.2,5.76,0,Alphabets Colors Digits Shapes Objects Emotions Sound Communication Actions
1.44,6,5,6.58,3.96,5.19,5.99,4.31,5,5.78,Alphabets Digits Shapes Objects Emotions Sound Communication Actions
3.58,1.19,7.93,2.48,4.2,9,6.83,4,6,6,Alphabets Colors Arithmetic Shapes Sound
4.24,6.93,5.4,3,4,7.02,0,3.35,3.94,10,Alphabets Digits Arithmetic Shapes Emotions Sound Communication
0,6,9,4.58,6,2.05,9,0,4.1,7,Alphabets Arithmetic Objects Sound Communication
7,5.78,0,0,0,2,6,4.75,0,5, Colors Digits Arithmetic Shapes Objects Sound Communication Actions
6,4.22,1.99,4.58,0,1.29,8.29,6,9,8.8, Colors Digits Arithmetic Shapes Objects
8,4.6,6.66,5.66,7,8.78,9,5.27,0,2, Colors Arithmetic Sound Communication Actions
0,7.47,0,7.84,0.19,7.71,1.26,2,0,4,Alphabets Digits Shapes Emotions Sound Communication Actions
7.3,6.2,2.2,0,8.7,10,3.36,2.39,8.64,5.21, Digits Arithmetic Emotions Sound Actions
1.7,9.02,6,0.83,8.14,2.29,6,4,3,5.59,Alphabets Arithmetic Objects Sound Communication Actions
5,7.54,4.9,4.56,5.1,6.35,8.89,8.69,0,0,Alphabets Digits Arithmetic Shapes Communication Actions
0,0,0,0,4.09,5,1.87,7.28,0.12,7.08,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication
5,2.65,4.63,7.45,4,4.59,6.53,4,4.07,9,Alphabets Colors Digits Shapes Objects Sound Communication
0.36,4.99,3.23,1.38,8,4.94,8.82,0,1.19,10,Alphabets Colors Digits Arithmetic Objects Sound Communication
1.42,2.12,7.37,8,0,0,9,1.19,5.36,5,Alphabets Colors Shapes Objects Sound Communication Actions
4,2.04,6.92,3.87,0,3.25,5.51,8.35,1.79,2.43,Alphabets Colors Arithmetic Shapes Objects Emotions Communication Actions
4.9,1.35,0.84,0.35,7.26,6,8.83,3.13,6,5,Alphabets Colors Digits Arithmetic Sound Actions
3.5,1,8.33,3.84,3.38,4,7,2.01,0,0,Alphabets Colors Arithmetic Shapes Objects Sound Communication Actions
0,6,0,9.37,0,0,7.12,3.04,2.25,4.97,Alphabets Digits Shapes Objects Sound Communication Actions
7.09,0.69,7,4.08,1.54,6.57,2.5,4,5,9, Colors Arithmetic Shapes Emotions Sound Communication
6.65,0,6.19,1.44,9,6.73,0,0,0.93,6.93, Colors Arithmetic Emotions Sound Communication
6,0,4.67,3,6.37,7,0,9.74,2,7.05, Colors Digits Arithmetic Emotions Communication
3.56,6.77,9.27,6.76,8.54,2.21,7,5.46,0,0,Alphabets Objects Sound Communication Actions
0,3.84,5.46,9,0,8.82,4.77,1.65,3,0,Alphabets Colors Digits Shapes Emotions Sound Communication Actions
7,2,7.95,4.63,5.76,5.73,0.77,6.8,3,5.37, Colors Arithmetic Shapes Objects Emotions Communication Actions
7.02,5.79,1.55,0,5.89,0,10,2.82,6.14,3, Colors Digits Arithmetic Shapes Objects Sound Actions
1.49,0.31,3.35,2.22,9,6.36,0,0,2.99,0.59,Alphabets Colors Digits Arithmetic Emotions Sound Communication Actions
1,3.71,3.34,2.19,0,9.61,5.8,0,8.51,0,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Actions
8.71,5,2,0,4.09,5.3,5.49,5.83,0.89,3, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
1.41,3.58,0,4,4.88,5,0,0,7.08,2.88,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
8.34,5.04,3.16,1,8.88,1,0,1.83,5,3.39, Colors Digits Arithmetic Objects Emotions Sound Communication Actions
4.92,7,8.14,9,1.42,7.91,6.92,6.37,6.67,9,Alphabets Shapes
0,6.01,7.06,1.62,0,0,2,10,2.66,7,Alphabets Arithmetic Shapes Objects Emotions Communication
4.26,7.82,0,8,0,7.1,8.88,0.85,0,2,Alphabets Digits Shapes Sound Communication Actions
4.47,0,0,2,2.4,5,3,3.19,3,8,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
9,0.15,6,8.64,3.95,3.88,7.44,6.56,2,0, Colors Shapes Objects Communication Actions
4.9,5.28,7.51,10,1.18,1,7,10,6.92,4.9,Alphabets Colors Shapes Objects Actions
0,0.45,6.95,0.82,5,5,0,2.96,5.94,1,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
3,3.15,1.8,0,7,5.62,6.88,6,3.59,3,Alphabets Colors Digits Arithmetic Objects Communication Actions
6,4.2,5.94,5.25,0,3,6.75,0.58,0,2.09, Colors Digits Arithmetic Shapes Objects Sound Communication Actions
0,4.2,7,8.45,0,2.2,0.73,1.46,3.92,6,Alphabets Colors Shapes Objects Emotions Sound Communication
5,4,2,0,5,0,0.42,8,0,8.48,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication
4.86,5.28,8.59,0,5.54,0.39,2.42,0,0.28,3.58,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
4.97,6.44,8.44,2.09,5.04,3.97,3.82,8,4,3.59,Alphabets Arithmetic Shapes Objects Emotions Communication Actions
1.31,5.49,0,4.71,4.03,0,8,0.22,6,1.33,Alphabets Colors Digits Arithmetic Shapes Objects Sound Actions
4.77,2.95,0.32,6,6,1,0,1.34,6.58,0.13,Alphabets Colors Digits Objects Emotions Sound Actions
